episode,reward
0,31.4292
96,31.1149
192,31.7982
288,32.0183
384,30.7762
480,33.9493
576,31.7859
672,30.1652
768,31.2247
864,33.0686
960,31.3984
1056,39.7032
1152,53.7605
1248,59.8126
1344,51.1365
1440,56.0187
1536,75.3143
1632,48.2633
1728,57.9268
1824,50.1544
1920,58.0830
2016,51.1670
2112,52.7823
2208,56.6615
2304,70.7310
2400,73.6698
2496,61.8928
2592,76.4629
2688,55.1189
2784,59.7736
2880,55.7277
2976,66.0489
3072,60.4161
3168,63.8878
3264,69.0419
3360,55.4311
3456,57.8841
3552,64.1539
3648,62.2435
3744,62.5470
3840,71.3412
3936,65.7902
4032,76.8134
4128,64.0487
4224,85.9386
4320,72.8151
4416,100.378
4512,103.569
4608,94.6613
4704,107.785
4800,108.786
4896,93.6466
4992,101.499
5088,97.3299
5184,111.820
5280,98.6487
5376,109.713
5472,98.6258
5568,80.0297
5664,82.6515
5760,74.4360
5856,93.8614
5952,95.3610
6048,84.7674
6144,95.5585
6240,82.4227
6336,65.2723
6432,68.7332
6528,94.4553
6624,100.510
6720,78.9194
6816,83.3066
6912,90.9046
7008,62.2870
7104,66.0616
7200,86.4845
7296,82.5329
7392,80.2408
7488,77.5807
7584,64.3791
7680,73.9437
7776,78.3054
7872,76.0895
7968,106.026
8064,103.807
8160,94.5017
8256,83.2468
8352,93.2033
8448,70.9117
8544,90.8861
8640,64.5881
8736,87.0494
8832,91.9460
8928,71.8632
9024,90.9371
9120,87.7289
9216,87.3160
9312,80.1617
9408,54.4921
9504,72.2456
9600,85.9263
9696,84.4798
9792,67.0114
9888,104.655
9984,65.2783
10080,78.2971
10176,62.0545
10272,111.272
10368,62.9936
10464,116.224
10560,113.033
10656,107.248
10752,123.085
10848,105.236
10944,121.754
11040,88.7474
11136,99.9853
11232,95.0462
11328,66.8507
11424,120.226
11520,123.053
11616,103.004
11712,88.1358
11808,63.7973
11904,68.4290
12000,115.420
12096,98.5441
12192,103.029
12288,114.962
12384,122.507
12480,105.586
12576,103.470
12672,99.9919
12768,113.362
12864,109.828
12960,112.200
13056,113.849
13152,116.481
13248,117.791
13344,95.4495
13440,117.207
13536,88.1389
13632,106.378
13728,77.8554
13824,109.322
13920,111.688
14016,69.6858
14112,75.9618
14208,88.5173
14304,76.9726
14400,100.586
14496,87.3559
14592,87.9470
14688,89.6974
14784,90.5296
14880,74.2194
14976,91.3386
15072,82.0571
15168,82.5044
15264,90.0361
15360,80.6598
15456,91.2658
15552,89.9953
15648,80.0869
15744,84.1738
15840,95.3909
15936,118.624
16032,102.641
16128,71.1381
16224,68.1130
16320,82.7556
16416,90.3745
16512,108.268
16608,116.986
16704,104.672
16800,113.605
16896,99.3166
16992,85.7568
17088,80.3485
17184,119.367
17280,121.209
17376,109.725
17472,115.271
17568,87.0468
17664,95.5808
17760,98.6429
17856,116.520
17952,117.982
18048,107.482
18144,116.667
18240,95.9255
18336,78.0228
18432,89.5858
18528,100.713
18624,127.227
18720,103.217
18816,126.586
18912,97.0515
19008,120.614
19104,115.650
19200,107.518
19296,100.645
19392,106.020
19488,111.738
19584,111.186
19680,106.400
19776,104.594
19872,109.867
19968,100.046
20064,85.0362
20160,102.947
20256,88.4077
20352,109.214
20448,114.016
20544,97.5868
20640,106.853
20736,88.5346
20832,109.122
20928,116.765
21024,136.803
21120,116.326
21216,111.342
21312,126.908
21408,138.323
21504,116.905
21600,119.540
21696,115.251
21792,105.588
21888,109.055
21984,112.991
22080,115.445
22176,136.275
22272,133.067
22368,106.965
22464,150.454
22560,127.516
22656,143.530
22752,126.905
22848,140.664
22944,133.399
23040,124.659
23136,135.858
23232,132.969
23328,149.174
23424,100.153
23520,112.341
23616,100.050
23712,133.827
23808,100.098
23904,106.608
24000,95.1494
24096,111.050
24192,98.0973
24288,88.5171
24384,121.844
24480,143.686
24576,140.319
24672,111.819
24768,111.414
24864,113.745
24960,128.517
25056,129.577
25152,138.707
25248,90.6141
25344,108.353
25440,115.915
25536,102.169
25632,138.154
25728,125.496
25824,117.974
25920,89.0403
26016,79.0519
26112,72.7367
26208,63.5436
26304,72.0165
26400,83.5516
26496,90.6259
26592,122.128
26688,135.841
26784,145.893
26880,137.372
26976,133.196
27072,148.278
27168,152.250
27264,143.327
27360,103.615
27456,122.185
27552,110.114
27648,104.912
27744,83.1534
27840,94.3604
27936,119.067
28032,122.739
28128,139.998
28224,151.062
28320,138.120
28416,127.089
28512,126.225
28608,116.632
28704,104.561
28800,113.815
28896,131.593
28992,138.799
29088,145.955
29184,123.163
29280,130.601
29376,141.943
29472,143.045
29568,146.848
29664,158.427
29760,117.106
29856,113.241
29952,86.4340
30048,104.708
30144,124.310
30240,143.151
30336,110.907
30432,108.938
30528,137.387
30624,148.516
30720,139.188
30816,120.819
30912,125.631
31008,131.845
31104,133.104
31200,120.523
31296,131.320
31392,121.070
31488,145.340
31584,143.832
31680,120.340
31776,104.395
31872,133.609
31968,140.981
32064,125.569
32160,146.060
32256,134.362
32352,145.342
32448,96.0292
32544,99.0994
32640,130.695
32736,132.260
32832,130.535
32928,130.814
33024,129.312
33120,123.833
33216,140.578
33312,142.963
33408,143.087
33504,148.625
33600,110.523
33696,143.986
33792,153.054
33888,138.600
33984,144.076
34080,118.443
34176,117.802
34272,126.239
34368,110.937
34464,84.6289
34560,82.4490
34656,106.443
34752,115.553
34848,73.7482
34944,105.100
35040,112.334
35136,83.7984
35232,88.6670
35328,109.831
35424,107.852
35520,153.541
35616,149.381
35712,148.031
35808,134.100
35904,138.162
36000,127.893
36096,151.674
36192,134.299
36288,109.004
36384,117.648
36480,115.216
36576,129.893
36672,90.9511
36768,105.864
36864,108.524
36960,96.4073
37056,93.7353
37152,103.221
37248,143.922
37344,134.645
37440,107.026
37536,110.926
37632,127.293
37728,112.030
37824,115.924
37920,122.877
38016,156.270
38112,153.725
38208,138.323
38304,136.290
38400,129.644
38496,109.160
38592,99.5003
38688,110.911
38784,135.867
38880,100.070
38976,67.3833
39072,74.3769
39168,118.478
39264,134.414
39360,140.806
39456,145.543
39552,125.812
39648,118.484
39744,118.037
39840,93.4994
39936,100.085
40032,116.947
40128,114.684
40224,122.317
40320,145.357
40416,134.035
40512,109.352
40608,113.903
40704,102.768
40800,119.799
40896,113.327
40992,129.409
41088,134.615
41184,100.350
41280,82.9536
41376,99.2098
41472,101.472
41568,80.4877
41664,103.772
41760,85.9235
41856,94.5103
41952,89.3926
42048,89.8765
42144,86.6460
42240,84.9934
42336,93.8219
42432,78.0087
42528,75.3512
42624,79.6381
42720,77.7965
42816,115.893
42912,124.831
43008,117.500
43104,121.394
43200,118.471
43296,110.145
43392,117.471
43488,101.904
43584,85.3138
43680,59.5409
43776,69.2640
43872,73.6437
43968,63.1422
44064,47.6423
44160,66.8507
44256,63.8240
44352,58.2562
44448,71.5724
44544,88.1368
44640,87.2664
44736,94.9977
44832,69.9264
44928,82.1728
45024,82.2929
45120,67.4741
45216,77.1937
45312,65.5464
45408,73.1095
45504,71.6747
45600,71.9388
45696,75.9267
45792,82.9979
45888,70.6442
45984,80.7548
46080,74.2286
46176,66.9106
46272,81.1408
46368,71.1669
46464,80.3071
46560,73.6071
46656,93.9176
46752,107.055
46848,81.8891
46944,96.4309
47040,102.946
47136,109.754
47232,99.6028
47328,101.926
47424,104.375
47520,94.3969
47616,85.1974
47712,99.6670
47808,90.8231
47904,97.3119
48000,94.4526
48096,88.0922
48192,75.4733
48288,101.210
48384,103.764
48480,96.0817
48576,82.9146
48672,83.0742
48768,72.8626
48864,86.0866
48960,70.3402
49056,74.0247
49152,78.2272
49248,72.1552
49344,67.9027
49440,66.7919
49536,63.8510
49632,62.1654
49728,80.1758
49824,64.9429
49920,69.8445
50016,73.6557
50112,82.3167
50208,105.446
50304,115.395
50400,113.175
50496,114.344
50592,77.4495
50688,89.6783
50784,102.636
50880,104.997
50976,107.773
51072,112.219
51168,93.7421
51264,96.7383
51360,107.952
51456,111.965
51552,117.997
51648,122.638
51744,114.511
51840,124.055
51936,113.079
52032,130.037
52128,125.962
52224,121.835
52320,116.296
52416,117.198
52512,121.239
52608,118.745
52704,109.886
52800,85.9654
52896,106.977
52992,110.005
53088,97.2005
53184,127.131
53280,121.012
53376,121.333
53472,101.416
53568,130.545
53664,98.6056
53760,77.2851
53856,78.4192
53952,78.4498
54048,69.7221
54144,74.4481
54240,53.6546
54336,65.8341
54432,67.8740
54528,70.8173
54624,82.8464
54720,67.1477
54816,67.9298
54912,85.2189
55008,99.9953
55104,114.063
55200,71.2209
55296,80.4066
55392,100.170
55488,111.565
55584,109.063
55680,99.0853
55776,111.547
55872,127.112
55968,99.3526
56064,119.907
56160,110.990
56256,116.928
56352,111.379
56448,95.8623
56544,99.3599
56640,96.3339
56736,102.121
56832,109.101
56928,112.240
57024,102.123
57120,112.314
57216,109.408
57312,88.1818
57408,115.110
57504,132.380
57600,129.154
57696,57.0273
57792,78.3236
57888,88.5465
57984,88.1030
58080,92.0340
58176,90.2288
58272,89.6499
58368,99.5897
58464,111.755
58560,87.3020
58656,70.3163
58752,107.355
58848,89.5146
58944,84.0034
59040,79.2584
59136,101.275
59232,94.1997
59328,89.3580
59424,107.951
59520,101.052
59616,105.644
59712,86.6324
59808,88.4111
59904,72.6965